id,name,platform_id,logo,description,created_at,website
7202,"8-bit Studio",6,None,None,"2015-10-28 06:43:04.714999",None
7203,"Art Edition",16,None,None,"2015-10-28 08:24:48.378999",None
7204,"aPriori Digital",41,None,None,"2015-10-28 11:28:06.746999",None
7205,"Ground Shatter",3,None,None,"2015-10-29 04:44:53.750999",None
7206,"Endemol ShineUK",3,None,None,"2015-10-29 04:44:54.063999",None
7207,"Green Man Loaded",6,None,None,"2015-10-29 04:44:54.273999",None
7208,imcGames,6,None,None,"2015-10-30 17:46:13.798000",None
7209,Bulbware,6,None,None,"2015-10-31 14:14:25.979000",None
7210,Anco,16,None,None,"2015-11-01 12:33:49.611999",None
7211,"Zaratustra Productions",3,None,None,"2015-11-02 01:19:59.375999",None
7212,"Pieces Interactive",6,https://images.igdb.com/igdb/image/upload//nmbjgpw4lfiycpa4ovhq.png,"Pieces Interactive is an independent game development company founded in 2007 and situated in SkÃ¶vde, Sweden.","2015-11-02 02:45:19.296999",http://piecesinteractive.se/
7213,"Personal Software Services",13,None,None,"2015-11-02 09:16:16.374000",None
7214,"Robot Invader",6,None,None,"2015-11-02 11:43:50.559999",None
7215,Parabole,6,None,None,"2015-11-02 13:38:09.721999",None
7216,"Spry Fox LLC",34,None,None,"2015-11-03 04:48:29.930999",None
7217,"Fictiorama Studios",6,None,None,"2015-11-03 12:24:25.813999",None
7218,"Studio Bean",6,None,None,"2015-11-03 14:03:15.980000",None
7219,"Project Siren",8,None,None,"2015-11-04 08:43:26.938999",None
7220,"Red River Studio",0,None,None,"2015-11-04 10:25:45.421000",None
7221,"Sacred Sword",0,None,None,"2015-11-04 19:34:01.987999",None
7222,"Zinckernagel & Co. A/S",0,None,None,"2015-11-04 19:43:55.592999",None
7223,"MoCap Copenhagen",0,None,None,"2015-11-04 19:43:56.003999",None
7224,"Eidos UK",0,None,None,"2015-11-04 19:43:57.164000",None
7225,"Allinthegame Ltd.",0,None,None,"2015-11-04 19:44:06.994999",None
7226,Freetype,0,None,None,"2015-11-04 19:44:11.448999",None
7227,Expat,0,None,None,"2015-11-04 19:44:11.602999",None
7228,"Axion Studios",0,None,None,"2015-11-04 19:48:03.589999",None
7229,"Knockout Games",0,None,None,"2015-11-04 19:48:15.903000",None
7230,"Imagos Studios",0,None,None,"2015-11-04 19:48:34.799000",None
7231,"Iridium Studios",6,None,None,"2015-11-05 10:24:41.072000",None
7232,"Mana Games",3,None,None,"2015-11-07 00:45:34.163000",None
7233,TAG,13,None,None,"2015-11-07 17:14:57.507999",None
7234,Firesky,6,None,None,"2015-11-11 16:45:23.553999",None
7235,"Cheyenne Mountain Entertainment",6,None,None,"2015-11-11 16:45:23.785000",None
7236,"Brad Fregger",0,None,None,"2015-11-12 19:49:47.655999",None
7237,Terramarque,16,None,None,"2015-11-14 04:33:41.431999",None
7238,"New Pencil Inc.",0,None,None,"2015-11-14 06:59:14.256999",None
7239,"Red Hill Studios",0,None,None,"2015-11-14 06:59:52.678999",None
7240,"Golden VizComm",0,None,None,"2015-11-14 07:00:09.888999",None
7241,"Orange Studio",0,None,None,"2015-11-14 07:00:52.134999",None
7242,"Six Shooter Games",0,None,None,"2015-11-14 07:01:49.473999",None
7243,"Tumblehead-Animation Studios",0,None,None,"2015-11-14 07:01:49.710000",None
7244,"DQ Entertainment International",0,None,None,"2015-11-14 07:01:50.234999",None
7245,"Bay Area Sound",0,None,None,"2015-11-14 07:01:51.822000",None
7246,"Adobe Systems",0,None,None,"2015-11-14 07:03:46.441999",None
7247,Macromedia,0,None,None,"2015-11-14 07:03:46.720999",None
7248,"Red House Studios",0,None,None,"2015-11-14 07:03:46.921000",None
7249,"Electric Image",0,None,None,"2015-11-14 07:03:48.003000",None
7250,"Naiad Entertainment",6,None,None,"2015-11-14 16:15:40.236999",None
7251,"Dekovir Entertainment",6,None,None,"2015-11-14 16:49:43.559999",None
7252,"Black Maple Games",6,None,None,"2015-11-14 16:49:43.832999",None
7253,"The Edge",15,None,None,"2015-11-15 05:57:43.387000",None
7254,Impulze,16,None,None,"2015-11-15 06:58:21.516000",None
7255,"Golden Goblins",13,None,None,"2015-11-15 07:03:16.717999",None
7256,"Valhalla Cats",6,https://images.igdb.com/igdb/image/upload//zjlumewom84qb9ktvzrm.png,"Valhalla Cats is an independent game creation studio founded in late 2013 by young and passionate gamers and animal lovers. We want to create funny games with a amazing graphics and attention to detail.

Valhalla Cats are committed to animal social causes, so a percentage of the profits will go directly to various animal welfare.","2015-11-15 15:42:51.029999",http://www.valhallacats.com/?lang=en
7257,"Dumb and Fat Games",6,None,None,"2015-11-15 16:23:47.598000",None
7258,Electrocoin,16,None,None,"2015-11-17 13:17:46.069999",None
7259,"Magic Pants",6,https://images.igdb.com/igdb/image/upload//i4dn1ot17rt1kejzcdie.png,"Magic Pants was founded on a deep love for all things comics and video games and a need to share that love with the world. Magic Pants founders are ex-Gameloft Montreal employees with a creative itch to scratch. Our goal is to make games that inspire and entertain and prove that heroes never lose. Heroes Never Lose: Professor Puzzler's Perplexing Ploy is Magic Pants' first commercial release.","2015-11-18 14:33:28.471999",None
7260,"Night School Studio",3,None,None,"2015-11-18 15:21:48.788000",None
7261,"Guerrilla Cambridge",48,https://images.igdb.com/igdb/image/upload//lapnfzlratd5todvmgqc.png,"Guerrilla Cambridge (formerly SCE Cambridge Studio), is part of Sony Computer Entertainment Worldwide Studios, was formed in July 1997 when Sony Computer Entertainment Europe acquired the Millennium Interactive development studio from Cyberlife Technology Ltd. The developer is mainly well known for making the MediEvil series on the original PlayStation, and also the PlayStation Portable.&#13;&#13;
&#13;&#13;
On 10 January 2013 Sony Computer Entertainment restructured Cambridge Studio and will now work with Guerrilla Games, to make Killzone games for the PlayStation Vita. Sony Computer Entertainment renamed SCE Cambridge Studio to Guerrilla Cambridge and now will be a sister studio to Guerrilla Games","2015-11-19 03:03:50.342000",http://www.worldwidestudios.net/cambridge
7262,"Sterling Silver Software",13,None,None,"2015-11-19 03:24:19.062999",None
7263,"Team Cherry",3,https://images.igdb.com/igdb/image/upload//sboqstzkvnwfb7b2utof.png,"""Team Cherry is an indie games developer in Adelaide, South Australia. Our mission is to build crazy, exciting worlds for you to explore and conquer. We happily spend hours and hours lovingly cramming these worlds full with intense battles, memorable characters and mysterious secrets.""","2015-11-20 09:35:38.740999",http://teamcherry.com.au/
7264,Ascon,16,None,None,"2015-11-20 13:57:09.592999",None
7265,Defcom,16,None,None,"2015-11-20 14:11:22.937999",None
7266,"EAS Procovision",16,None,None,"2015-11-21 02:27:33.947000",None
7267,"Acid Software",16,None,None,"2015-11-21 02:31:14.979000",None
7268,"Global Software",16,None,None,"2015-11-21 02:55:01.546999",None
7269,Intelek,16,None,None,"2015-11-21 03:05:33.234999",None
7270,"BOMS Computer Games",16,None,None,"2015-11-21 03:26:05.760999",None
7271,"Leisure Genius",13,None,None,"2015-11-21 03:34:59.625999",None
7272,"Screen 7 Entertainment",3,None,None,"2015-11-21 04:31:24.049000",None
7273,"Phoenix Game Studio",3,None,None,"2015-11-21 15:02:48.493999",None
7274,Supervision,16,None,None,"2015-11-22 07:39:27.492000",None
7275,"The Hidden",16,None,None,"2015-11-22 07:39:28.165999",None
7276,"The Deep End Games",6,https://images.igdb.com/igdb/image/upload//jtxuzlknskivhjpvr3i3.png,"The Deep End Games is an independent game developer formed by industry veterans of games like the BioShock series, Rock Band, Dead Space and many more.","2015-11-22 09:03:48.322999",None
7277,peakvox,6,None,None,"2015-11-23 08:05:03.555000",None
7278,"Alan Hazelden",3,None,None,"2015-11-23 08:54:02.951999",None
7279,"Benjamin Davis",3,None,None,"2015-11-23 08:54:03.158999",None
7280,"Tic Toc Games",6,None,None,"2015-11-23 14:13:46.926000",None
7281,"Red Earth Recording Studios",0,None,None,"2015-11-23 17:04:44.976000",None
7282,"Associated Production Music",0,None,None,"2015-11-23 17:04:45.381999",None
7283,Centennia,0,None,None,"2015-11-23 17:05:15.374000",None
7284,"Animal Arts",0,None,None,"2015-11-23 17:05:30.802999",None
7285,"Rosalyn Catering",0,None,None,"2015-11-23 17:05:32.783999",None
7286,"Cinerents West",0,None,None,"2015-11-23 17:05:35.928999",None
7287,"Steadi Systems",0,None,None,"2015-11-23 17:05:36.289999",None
7288,"Monaco Labs",0,None,None,"2015-11-23 17:05:37.200999",None
7289,"Varitel San Francisco",0,None,None,"2015-11-23 17:05:37.335999",None
7290,"On Time/Off Line",0,None,None,"2015-11-23 17:05:37.733999",None
7291,Litigation,0,None,None,"2015-11-23 17:05:38.555999",None
7292,Technologies,0,None,None,"2015-11-23 17:05:38.611000",None
7293,"American Zoetrope",0,None,None,"2015-11-23 17:05:39.555999",None
7294,"Poolside Studios",0,None,None,"2015-11-23 17:05:39.671000",None
7295,"Outpost San Francisco",0,None,None,"2015-11-23 17:05:39.907999",None
7296,"Forte Music Studios",0,None,None,"2015-11-23 17:05:40.996999",None
7297,"MuHa Games",6,None,None,"2015-11-23 22:46:05.523999",None
7298,"Freehold Games",3,None,None,"2015-11-23 23:04:06.420000",None
7299,"Ink Stains Games",3,None,None,"2015-11-24 03:37:06.437000",None
7300,"Pinkapp games",3,None,None,"2015-11-24 03:37:06.526999",None
7301,"Arsys Software",7,None,None,"2015-11-24 13:25:39.993000",None
7302,"Michaelsoft Inc.",8,None,"Michaelsoft was a Japanese game developer and publisher which released 2 Playstation 2 games in Japan before closing. 

Most of the staff and the core development team, Team Muramasa, went on to form Experience Inc. in April 2007.","2015-11-25 10:16:45.528000",None
7303,"Hue Forest Entertainmen",6,None,None,"2015-11-25 12:55:50.809999",None
7304,"Sakuratei Motion Capture",0,None,None,"2015-11-26 17:09:59.486999",None
7305,"Mix Core Inc.",0,None,None,"2015-11-26 17:10:02.220999",None
7306,Nova,0,None,None,"2015-11-26 17:10:06.321000",None
7307,"Digifusion Inc.",0,None,None,"2015-11-26 17:10:08.661999",None
7308,"Tokyo Itoi Shigesato Office",0,None,None,"2015-11-26 17:11:56.467000",None
7309,"Glass Eye Pix",0,None,None,"2015-11-26 17:14:13.237999",None
7310,EPK,0,None,None,"2015-11-26 17:14:15.917999",None
7311,"Robotic Dream Studios",0,None,None,"2015-11-26 17:18:12.302000",None
7312,"Industrial Arts",0,None,None,"2015-11-26 17:18:13.872999",None
7313,"FLY Films",0,None,None,"2015-11-26 17:20:57.813999",None
7314,"Kalloc Studios",0,None,None,"2015-11-26 17:20:58.068000",None
7315,"The Monk Studio Company",0,None,None,"2015-11-26 17:20:58.549000",None
7316,"Nuke Digital & Technology",0,None,None,"2015-11-26 17:21:00.401999",None
7317,Uni-Digital,0,None,None,"2015-11-26 17:21:01.036999",None
7318,"Virus Studios",0,None,None,"2015-11-26 17:21:01.753999",None
7319,"Star Maid Games",6,None,None,"2015-11-27 06:11:08.016000",None
7320,"Super Awesome Hyper Dimensional Mega Team",3,https://images.igdb.com/igdb/image/upload//d5shhjvmpno5h41jnw0h.png,"Super Awesome Hyper Dimensional Mega Team is comprised by a bunch of friends with a lot of experience in the videogame industry, having worked on projects like Plants VS Zombies or Worms. We have released three games for mobile devices so far: Pro Zombie Soccer, Pro Zombie Soccer Apocalypse Edition and Supermagical, all of them Editorâs Choice on the App Store, selected among the Best of the Year by Apple and ranking millions of downloads. We are currently hard at work on our first project for PC and consoles: Rise &amp; Shine.","2015-11-27 09:31:18.839999",http://supermegateam.com/
7321,"Big Wheels Studio",0,None,None,"2015-11-29 17:49:01.773000",None
7322,"The Blade Runner Partnership",0,None,None,"2015-11-29 17:49:44.332000",None
7323,"Icon Art",0,None,None,"2015-11-29 17:50:25.336999",None
7324,"Wavegroup Sound",0,None,None,"2015-11-29 17:50:31.648999",None
7325,"Atrophy Studios",0,None,None,"2015-11-29 17:51:15.184000",None
7326,"Petrified Productions",0,None,None,"2015-11-29 17:51:15.517999",None
7327,"Perceptive Sound Design",0,None,None,"2015-11-29 17:51:55.342000",None
7328,"Advantage Audio",0,None,None,"2015-11-29 17:52:02.545000",None
7329,"BLT & Associates",0,None,None,"2015-11-29 17:52:14.334000",None
7330,DivX,0,None,None,"2015-11-29 17:52:27.744999",None
7331,"Filmakademie Baden-WÃ¼rttemberg",0,None,None,"2015-11-29 17:57:39.688999",None
7332,"StÃ¶ckel GmbH",0,None,None,"2015-11-29 17:57:40.038000",None
7333,"RC Productions",0,None,None,"2015-11-29 17:58:12.562999",None
7334,Attaction,0,None,None,"2015-11-29 17:58:13.145999",None
7335,"BVT Games Fund III Dynamic GmbH & Co. KG",0,None,None,"2015-11-29 17:58:13.664000",None
7336,"Trinigy GmbH",0,None,None,"2015-11-29 17:58:13.871999",None
7337,KARAKTER,0,None,None,"2015-11-29 17:58:13.980000",None
7338,"ELIGAME Studio",0,None,None,"2015-11-29 17:58:14.099999",None
7339,"Luedke Productions",0,None,None,"2015-11-29 17:58:14.239000",None
7340,"Try2 Games",0,None,None,"2015-11-29 17:58:14.331000",None
7341,"Virgin Lands",0,None,None,"2015-11-29 17:58:14.467000",None
7342,"Ulysses Games",0,None,None,"2015-11-29 17:58:14.631999",None
7343,iBeta,0,None,None,"2015-11-29 17:58:14.915999",None
7344,"Mosaik Studios",0,None,None,"2015-11-29 17:58:15.049999",None
7345,"DLM Consulting",0,None,None,"2015-11-29 17:58:15.403000",None
7346,"Staatskapelle Halle",0,None,None,"2015-11-29 17:58:41.417999",None
7347,"Genuin Philharmonic Choir",0,None,None,"2015-11-29 17:58:42.267999",None
7348,Team57,0,None,None,"2015-11-29 17:58:49.119999",None
7349,"304000 Medienkreatioen",0,None,None,"2015-11-29 17:58:53.371999",None
7350,"Churoku Service",0,None,None,"2015-11-29 18:00:29.605999",None
7351,"Art Quest",0,None,None,"2015-11-29 18:00:30.798000",None
7352,Robot,0,None,None,"2015-11-29 18:00:49.311000",None
7353,"Wild Brain",0,None,None,"2015-11-29 18:00:52.700999",None
7354,"Image AspectZ",0,None,None,"2015-11-29 18:01:00.766000",None
7355,Arquebuse,0,None,None,"2015-11-29 18:01:01.960000",None
7356,"TEAM Entertainment",0,None,None,"2015-11-29 18:01:05.049999",None
7357,"Sound Inn",0,None,None,"2015-11-29 18:01:06.808000",None
7358,"Warner Music Recording Studio",0,None,None,"2015-11-29 18:01:07.930999",None
7359,"Unicon Products Inc.",0,None,None,"2015-11-29 18:01:11.940999",None
7360,Sawano,0,None,None,"2015-11-29 18:01:13.052999",None
7361,"Bean Pod Corp.",0,None,None,"2015-11-29 18:03:04.430000",None
7362,"Alpha Stunts",0,None,None,"2015-11-29 18:03:06.441999",None
7363,"Big Fighter Project",0,None,None,"2015-11-29 18:03:12.582000",None
7364,"Syncretic Media",0,None,None,"2015-11-29 18:03:20.263000",None
7365,"TSP Inc.",0,None,None,"2015-11-29 18:03:20.763999",None
7366,"Zepher Inc.",0,None,None,"2015-11-29 18:03:22.151000",None
7367,"Garyu Corporation",0,None,None,"2015-11-29 18:03:24.013999",None
7368,"Sora Technology Corporation",0,None,None,"2015-11-29 18:03:24.270999",None
7369,"IJO Inc.",0,None,None,"2015-11-29 18:03:24.345999",None
7370,"Akatuki Design",0,None,None,"2015-11-29 18:03:25.546999",None
7371,"L.C. Sound Services",0,None,None,"2015-11-29 18:03:26.944999",None
7372,"Casting Office Yoshikawa",0,None,None,"2015-11-29 18:03:28.799000",None
7373,"KeKKe Corporation",0,None,None,"2015-11-29 18:03:28.861999",None
7374,"Mit Gathering",0,None,None,"2015-11-29 18:03:28.928999",None
7375,"Production Ace",0,None,None,"2015-11-29 18:03:28.990999",None
7376,Remax,0,None,None,"2015-11-29 18:03:29.051000",None
7377,"Grandfunk Inc.",0,None,None,"2015-11-29 18:03:29.111000",None
7378,Spacewalker,0,None,None,"2015-11-29 18:03:29.503999",None
7379,SoundDrive,0,None,None,"2015-11-29 18:03:29.936000",None
7380,"Harmonics International",0,None,None,"2015-11-29 18:03:30.361999",None
7381,"PearUp Media",0,None,None,"2015-11-29 18:03:31.006000",None
7382,"Rooster Teeth Games",3,https://images.igdb.com/igdb/image/upload//b3hdxuio0rjqvhldsnwj.png,None,"2015-12-01 23:54:31.448999",http://roosterteeth.com/
7383,"Team Flow",3,None,None,"2015-12-02 00:03:34.763999",None
7384,"Tiger Style",3,None,None,"2015-12-02 00:24:20.201999",None
7385,"Deadbreed AB",6,None,None,"2015-12-02 04:34:57.733000",None
7386,"Blue Moon Studio",8,None,None,"2015-12-02 05:51:44.210999",None
7387,"Space Orange Studios",6,None,None,"2015-12-02 09:38:55.003999",None
7388,stary3d,6,None,None,"2015-12-02 16:46:35.631999",None
7389,ARCgames,6,None,None,"2015-12-02 17:38:00.723000",None
7390,"Siddharth Upendra Kumar Rai",39,None,None,"2015-12-03 05:42:06.769999",None
7391,Klearwing,34,None,None,"2015-12-03 06:05:13.295000",None
7392,Philips,0,None,None,"2015-12-03 10:14:14.127000",None
7393,Philips,117,None,None,"2015-12-03 10:14:14.673000",None
7394,"Raspina Games",6,None,None,"2015-12-04 10:09:54.315000",None
7395,FrameLineNetwork,92,None,None,"2015-12-04 15:49:06.119999",None
7396,"Stormcloud Games",6,https://images.igdb.com/igdb/image/upload//lbhbhoao6tfakeg7jhos.png,"Based in Dundee, Scotland.","2015-12-05 18:47:24.131999",http://www.stormcloudgames.com/
7397,"White Rabbit",6,None,None,"2015-12-05 18:59:58.769999",None
7398,Videocult,6,None,None,"2015-12-05 19:40:32.667999",None
7399,"Stately Snail",3,None,None,"2015-12-05 22:08:15.269999",None
7400,"Amaranth Games",6,None,None,"2015-12-06 07:30:36.339999",None
7401,"G.L.L Software S.A",26,None,None,"2015-12-06 07:34:58.792000",None
7402,"Legend Software",16,None,None,"2015-12-06 08:01:42.211999",None
7403,"Turcan Research",16,None,None,"2015-12-06 08:52:34.595000",None
7404,"Cobra Soft",13,None,None,"2015-12-06 10:16:29.323999",None
7405,"Electric Dreams Software",15,None,None,"2015-12-06 10:45:40.727999",None
7406,Jaybot7,6,None,None,"2015-12-06 12:45:32.447999",None
7407,"Plastic Studios",0,None,None,"2015-12-06 13:10:31.737999",None
7408,"Design Design",25,None,None,"2015-12-06 13:57:24.243999",None
7409,"Reality Pump Studios",0,None,None,"2015-12-06 17:17:33.470999",None
7410,"RavenSoft / id Software",0,None,None,"2015-12-06 17:17:37.832000",None
7411,"Outerlight Ltd.",0,None,None,"2015-12-06 17:17:48.950999",None
7412,"Elephant Games",6,None,None,"2015-12-06 17:17:55.842999",None
7413,Frontier,6,None,None,"2015-12-06 17:18:04.809000",None
7414,"",0,None,None,"2017-03-23 13:07:08.776155",None
7415,"Iocaine Studios",6,None,None,"2015-12-06 17:18:08.747999",None
7416,"Nordic Games Group",6,https://images.igdb.com/igdb/image/upload//xvdzttgvs1evntfnh28t.png,"""Welcome to Nordic Games Group AB, the holding entity for several companies predominantly active within the computer and video games business.

Our core philosophy is to build, invest in or acquire companies and intellectual property that supports our strategic objectives, and where we believe that we can add value. The group is privately owned with roots in the games industry back to mid 90s and managed by a team of highly experienced individuals.""","2015-12-06 17:18:23.391000",http://www.nordicgamesgroup.com/
7417,"PopCap Games, Inc.",6,None,None,"2015-12-06 17:18:27.510999",None
7418,"Retro64, Inc.",6,None,None,"2015-12-06 17:18:45.023999",None
7419,"Imagos Softworks",3,https://images.igdb.com/igdb/image/upload//yy5l6oqand0jmfcmlzkk.png,None,"2015-12-06 17:19:56.364000",None
7420,"KnightSoft Software",15,None,None,"2015-12-06 17:49:42.051000",None
7421,Rebellion,6,None,None,"2015-12-06 18:20:45.694000",None
7422,"Naked Sky Entertainment",6,None,None,"2015-12-06 18:20:57.963999",None
7423,"Unknown Worlds",6,None,None,"2015-12-06 18:21:22.648999",None
7424,Lucasfilm,6,None,None,"2015-12-06 18:21:25.803999",None
7425,"Mithis Games",6,None,None,"2015-12-06 18:21:34.894999",None
7426,"",0,None,None,"2017-03-23 13:07:08.878453",None
7427,"R C Knight",6,None,None,"2015-12-06 18:21:37.615000",None
7428,"Cyanide Studios",6,None,None,"2015-12-06 18:21:51.257999",None
7429,PopTop,0,None,None,"2015-12-06 18:21:58.306999",None
7430,"Goodhustle Studios",6,None,None,"2015-12-06 23:52:57.079999",None
7431,"",0,None,None,"2017-03-23 13:07:08.902877",None
7432,Retroism,3,None,None,"2015-12-07 04:33:20.572999",None
7433,"Behaviour Santiago",12,None,"Behaviour Santiago (formerly Wanako Studios Ltd.) is a Chilean video game developer and a wholly owned subsidiary of Behaviour Interactive.","2015-12-07 04:33:25.961999",None
7434,"Electronic Paradise",6,None,None,"2015-12-07 04:33:33.884000",None
7435,"Parallax Arts Studio",6,None,None,"2015-12-07 04:36:17.582000",None
7436,"KDV Games",6,None,None,"2015-12-07 04:36:19.473000",None
7437,"Technetium Games",0,None,None,"2015-12-07 04:36:20.719000",None
7438,"Kalypso Media Digital",3,None,None,"2015-12-07 04:36:20.772000",None
7439,"D3Publisher of America, Inc.",0,None,None,"2015-12-07 04:36:22.460999",None
7440,Gamebryo,0,None,None,"2015-12-07 04:36:24.823999",None
7441,"Virtual Playground",6,None,None,"2015-12-07 04:36:25.207999",None
7442,"Codemasters Studios",0,None,None,"2015-12-07 04:36:37.611999",None
7443,"",0,None,None,"2017-03-23 13:07:09.000777",None
7444,"Crow Crows Crows",6,None,None,"2015-12-07 05:37:32.851999",None
7445,"Koei Tecmo Europe",6,https://images.igdb.com/igdb/image/upload//lgmxfueadxd5amhbeu14.png,"""KOEI TECMO EUROPE Ltd, the European subsidiary of KOEI TECMO HOLDINGS Co., Ltd. of Japan established operations in 2003 and based just outside of London, in Hertfordshire. ""","2015-12-07 09:52:16.573999",http://www.koeitecmoeurope.com/
7446,EasyTech,34,None,None,"2015-12-08 08:44:57.301000",None
7447,"TJ Townsend",3,None,None,"2015-12-08 11:08:57.051000",None
7448,"Dejobaan Games, LLC",6,None,None,"2015-12-08 15:03:37.924999",None
7449,Slam,6,None,None,"2015-12-08 15:03:49.736999",None
7450,"Last Day of Work",6,None,None,"2015-12-08 15:04:03.464999",None
7451,"Redlynx Ltd",0,None,None,"2015-12-08 15:04:20.625999",None
7452,Miniclip.com,82,None,None,"2015-12-08 15:04:20.813999",None
7453,"Tilted Mill Entertainment, Inc.",6,None,None,"2015-12-08 15:04:29.957999",None
7454,"Maxisâ¢",6,None,None,"2015-12-08 15:04:39.042999",None
7455,"Octoshark Studios",3,None,None,"2015-12-08 15:04:43.974999",None
7456,"Inventive Dingo",6,None,None,"2015-12-08 15:05:07.671000",None
7457,"Brian Cronin",0,None,None,"2015-12-08 15:05:10.631000",None
7458,"Strawdog Studios Ltd",6,None,None,"2015-12-08 15:05:15.836999",None
7459,"Bounce Entertainment",0,None,None,"2015-12-08 15:05:15.920000",None
7460,"Bounce Entertainment",6,None,None,"2015-12-08 15:05:16.088999",None
7461,"Perpetual FX Creative",6,None,None,"2015-12-08 15:05:24.365000",None
7462,Volition,0,None,None,"2015-12-08 15:05:25.894000",None
7463,Eipix,6,None,None,"2015-12-08 15:05:50.607000",None
7464,"Candella Systems Ltd",6,None,None,"2015-12-08 15:05:51.198999",None
7465,"Proper Games",6,None,None,"2015-12-08 15:05:56.918999",None
7466,"Paradox Development Studio",6,https://images.igdb.com/igdb/image/upload//tmgoxhnyjjmlvxvqyadt.png,"Paradox Development Studio is based on the heritage of the Swedish board game company Target Games, and has been a game developer of PC-focused grand strategy games since 1995, including the Europa Universalis, Hearts of Iron, Crusader Kings, and Victoria series. The company continued to create PC games and in 1999, the company was divided into two separate entities: Paradox Interactive, which focused on creating grand strategy games for PC, and Paradox Entertainment, which focused on creating board and role-playing games.

In January 2012, the company divided yet again into two companies, becoming Paradox Interactive and Paradox Development Studio. Paradox Interactive became the game publisher focused on PC games of various genres and Paradox Development Studio became the game development studio focused on grand strategy games.

The game development studio was one of the first video game developers to create games in the grand strategy genre, and most of the games the studio has developed falls into that category. Grand strategy games are historical strategy games that usually cover the entire world map and include elements such as economy, diplomacy and warfare.","2015-12-08 15:06:14.125999",https://www.paradoxplaza.com/
7467,"",0,None,None,"2017-03-23 13:07:09.261519",None
7468,"Mindstorm Studios",6,None,None,"2015-12-08 15:07:35.381000",None
7469,"",0,None,None,"2017-03-23 13:07:09.269636",None
7470,Cyberlore,0,None,None,"2015-12-08 15:56:47.030999",None
7471,"Paleo Entertainment",6,None,None,"2015-12-08 15:56:50.135999",None
7472,Kloonigames,3,https://images.igdb.com/igdb/image/upload//namlzmxuqu7i4qxymnvv.png,None,"2015-12-08 15:56:54.516999",http://www.kloonigames.com/
7473,"Llamasoft LTD",15,None,None,"2015-12-08 15:57:05.237999",None
7474,"DnS Development",6,None,None,"2015-12-08 15:57:09.174999",None
7475,"Hemisphere Games",3,None,None,"2015-12-08 15:57:22.198999",None
7476,"Thinking Studios",6,None,None,"2015-12-08 15:58:06.079999",None
7477,"Slam Dunk Studios",6,None,None,"2015-12-08 15:58:06.403000",None
7478,"Black Jacket Studios",6,None,None,"2015-12-08 15:58:21.099999",None
7479,"",0,None,None,"2017-03-23 13:07:09.346305",None
7480,"Brightside Games",6,None,None,"2015-12-08 15:59:09.872999",None
7481,"Ascaron Entertainment ltd.",0,None,None,"2015-12-08 15:59:16.430999",None
7482,"Revolution Software Ltd",0,None,None,"2015-12-08 15:59:18.630000",None
7483,"Gunnar Games, Inc.",6,None,None,"2015-12-08 15:59:28.128999",None
7484,"Invent4 Entertainment",6,None,None,"2015-12-08 16:00:24.769000",None
7485,"",0,None,None,"2017-03-23 13:07:09.374739",None
7486,"Game Factory Interactive",6,None,None,"2015-12-08 16:00:36.016999",None
7487,"Actual Screenshots",16,None,None,"2015-12-09 03:09:43.262000",None
7488,"Power of 2",3,None,None,"2015-12-09 05:44:25.104000",None
7489,Frima,6,None,None,"2015-12-09 05:44:28.234999",None
7490,"Chaos Concept",0,None,None,"2015-12-09 05:45:20.687999",None
7491,"Big Splash Games, LLC",6,None,None,"2015-12-09 05:45:25.721999",None
7492,"Absolutist Ltd.",6,None,None,"2015-12-09 05:45:52.029999",None
7493,"Vectorpark, Inc.",6,None,None,"2015-12-09 05:46:09.352999",None
7494,"Awem Studio",6,None,None,"2015-12-09 05:46:36.176000",None
7495,iWin,6,None,None,"2015-12-09 05:46:36.516999",None
7496,"",0,None,None,"2017-03-23 13:07:09.485750",None
7497,"Vogster Entertainment",20,None,None,"2015-12-09 05:46:57.911999",None
7498,"",0,None,None,"2017-03-23 13:07:09.499811",None
7499,"",0,None,None,"2017-03-23 13:07:09.501921",None
7500,"4 Head Studios",0,None,None,"2015-12-09 05:47:23.015000",None
7501,"Oasis Games",6,None,None,"2015-12-09 05:48:04.888000",None
7502,"Interplay Inc.",6,None,None,"2015-12-09 05:48:04.947999",None
7503,"Independent Programmist Group",6,None,None,"2015-12-09 05:48:10.993000",None
7504,Trinoteam,0,None,None,"2015-12-09 05:48:21.079999",None
7505,LoadComplete,0,None,None,"2015-12-09 05:48:21.628999",None
7506,"Dark Water Studios Ltd",6,None,None,"2015-12-09 05:48:39.723999",None
7507,"Instinct Software Ltd.",6,None,None,"2015-12-09 05:48:40.022000",None
7508,"KTX Software",6,None,None,"2015-12-09 05:49:24.809999",None
7509,"Signo & Arte",6,None,None,"2015-12-09 05:49:24.888999",None
7510,"Cadenza Interactive",6,None,None,"2015-12-09 05:49:41.108000",None
7511,"Nemesys Games",6,None,None,"2015-12-09 06:40:35.447000",None
7512,"Dedication Games",6,None,None,"2015-12-09 06:41:25.983000",None
7513,"Muzzy Lane Software",3,None,None,"2015-12-09 06:41:41.700000",None
7514,"Ntronium Games",6,None,None,"2015-12-09 06:41:45.859999",None
7515,"Dust Devil Studios Inc.",6,None,None,"2015-12-09 06:41:53.112999",None
7516,"Virtual Prophecy Entertainment",6,None,None,"2015-12-09 06:42:12.256000",None
